username,location,text,True or Not,isSarcasm,tweet_date,hashtags_extracted,,,,
Xolile,Global citizen,"Where is our President?
The Covid-19 vaccine influencer. https://t.co/y513wtXJlF",2,,2022-04-16 02:16:58+00:00,,,,,
Everything is Cancelled,,"@ChristyCeeCK Is this a vaccine add? Why are people talking like this? Then the emoji mask and 3,wtf? If all those worked, how the Covid? So many questions.",2,,2022-04-16 02:16:30+00:00,,,,,
Cameron Franklin,"Charlotte, NC",Fight the real science and medicine behind COVID-19 and learn how to either mask up and get those vaccine booster shots as soon as possible OR just outright stay the fuck right at home.  We are not playing around with our health anymore.,1,0,2022-04-16 02:16:24+00:00,,,,,
GreatResistAggregator????,,"More Than 1 Million COVID Vaccine Injuries, Nearly 27,000 Deaths Reported to VAERS, CDC Data Show ??Children's Health Defense https://t.co/WJyGSd6StU",3,0,2022-04-16 02:16:24+00:00,,,,,
Phil Kalt,United States,$GRTS new troublesome Covid virus strains about to hit the US badly seems to have woken up NIAID to pay long overdue attention to Gritstone?? multivariant vaccine that induces strong antibody &amp; killer T cell response and is far more effective &amp; durable than Pfizer or Moderna https://t.co/cPasSEYIsu,3,0,2022-04-16 02:16:24+00:00,,,,,
p,Canada,"@ChristyCeeCK You are thrice vaxxed, had 11 days of symptomatic covid and your conclusion is that the vaccine worked for you?",3,1,2022-04-16 02:16:03+00:00,,,,,
TexasStong,,@JrsGuardianV Our children became political pawns and martyrs.  Real Doctors like my sons suggested that the Covid-19 vaccine not be taken.  Benefits did not outweigh the negatives,3,0,2022-04-16 02:15:33+00:00,,,,,
Ross A Lloyd,Canberra,@MAGADAD3 @JamesonHalpern I think they may have overlooked the eventual prosecution for falsifying side effect data of their Covid vaccine...,2,,2022-04-16 02:15:29+00:00,,,,,
Dr. Sandman,"Tallahassee, Florida",still have not gotten Covid...maybe they gave me the special vaccine,2,,2022-04-16 02:15:19+00:00,,,,,
Justin Chase Jones (false) underpaid (re dacted),,"To study media coverage of the AstraZeneca COVID-19 vaccine, we analysed tweets containing ??AstraZeneca??and links in the most frequently retweeted tweets. Additionally, we investigated co- tweet networks and revealed bot activity related to the discourse.",2,,2022-04-16 02:14:47+00:00,astrazeneca,,,,
Justin Chase Jones (false) underpaid (re dacted),,"? 2021 The Royal Society for Public Health. Published by Elsevier Ltd 

Vaccination debates are prone to misinformation and this has been especially true during the COVID-19 pandemic.1,2 A particularly interesting case is the AstraZeneca COVID-19 vaccine, which has had...",2,,2022-04-16 02:14:47+00:00,,,,,
TP - Vinny,,"Some covid vaccine makers &amp; govt have the right to mandate shitty jabs and spread medical misinformation with zero consequences too.

They cannot be sued.

And the sheep are willing too. https://t.co/10RjuAWmSr",2,,2022-04-16 02:14:06+00:00,,,,,
Brian R Jackson,"Newtown, CT, USA",Over two years of avoiding it but my number finally came up. Here?? my journey with COVID quantified by my @ouraring fitness and sleep tracker. I?? grateful for the vaccine so the last few days have been uncomfortable rather than frightening. https://t.co/OFMOnHAHrz,2,,2022-04-16 02:13:29+00:00,,,,,
Jasper 'Lope - Enough is Enough,"West Bay, Northern California","@DifficultNerd You have 10% odds of permanent disability from Long Covid THROUGH THE VACCINE you absolute knob.

Wear a goddamn n95 mask.

https://t.co/K6dIysIxJL",1,0,2022-04-16 02:13:22+00:00,,,,,
ornamental_corner,,"@JohannaSzabo1 @mo26100486 @NSWHealth @BradHazzard Does nothing to stop infection, only reduced chance of death. If you aren't fat, unhealthy or over 65 chances if death are low(vaccine is obviously better than worse). Long covid is unfortunately  not well understood at this stage.",1,0,2022-04-16 02:13:13+00:00,,,,,
moreofthesame,,"Create a product that creates the disease, then cure the disease with the same product that created the disease..
https://t.co/hp6mKYVsB7",2,,2022-04-16 02:13:06+00:00,,,,,
Aerik ????€???he/him || Protect trans kids ????€????KS,"Less than 17 hours from my first COVID-19 vaccine anniversary.

Thanks for the event, @UMKCCentral",1,0,2022-04-16 02:12:45+00:00,,,,,,
Elliott Guerrero,North Carolina,Audio Interview: Do We Need a Fourth Dose of Covid Vaccine? https://t.co/VbNh8GZ80p,2,,2022-04-16 02:12:32+00:00,,,,,
Margaret Joyce,"Toronto, ON, Canada","WELL Health Technologies has a 181 per cent runway, says Echelon #medicine #health #wellbeing #Covid #Vaccine #Canada https://t.co/Lb8Gum6xJ4",2,,2022-04-16 02:12:26+00:00,"medicine,health,wellbeing,covid,vaccine,canada",,,,
??Living Safely With Covid ?? #covidisairborne,New Zealand,"@CommentsAndOpi2 As you say, Covid is going to be around for years. It would make sense to keep the vaccine passes and have options for including boosters, 4th doses, or additional vaccines if new ones become available.",1,0,2022-04-16 02:12:13+00:00,,,,,
KING NEGRO,,Twitter some hoes. Put me in Twitter jail for telling the truth about the deadly covid vaccine. I hope Elon Musk does do a hostile takeover on your bitch ass.,3,0,2022-04-16 02:11:35+00:00,,,,,
Mickie / #BringWynonnaHome,"St Paul, MN",Covid vaccine round 4! ????????? https://t.co/3T2B2yGJFX,2,,2022-04-16 02:11:28+00:00,,,,,
DPK clothing,"Sydney, New South Wales","@CatCowie2 @roo_mint He's pushing to make the covid vaccine in south Australia. 
  https://t.co/HkZXd974Xx",2,,2022-04-16 02:11:24+00:00,,,,,
Prof Dr DuckDuckGo,"Langley, VA",@Deadpilled @LinWoodsHorse And a botched handling of COVID with a vaccine pushed out without trials https://t.co/2WExrsf7Tf,3,0,2022-04-16 02:11:02+00:00,,,,,
GreatResistAggregator????,,Pfizer Document (confidential) suggests ??ovid Vaccine Shedding??leading to ??enstrual Cycle Disruption??and ??iscarriage??is possible via ??kin-to-Skin Contact??&amp; ??reathing the same Air??https://t.co/6aVG8JiWoL,3,1,2022-04-16 02:10:03+00:00,,,,,
Alex&Her,"Rochester, NY","@ilovedogs728 @ob1kalody @RealTBONEHusker So according to this there was 26,000 vaccine related deaths vs 987,000 Covid related deaths so not sure how this original statement has any validity",1,0,2022-04-16 02:09:14+00:00,,,,,
Iain Mackenzie,"Toronto, Ontario","@NotJayNelson I recommend this just released book if you seek to fully appreciate Trudeau's dystopic and social credit system inspired pandemic agenda - https://t.co/KmmX9Ie3O0

A friend of mine recently bought 40 of these books to distribute to his friends who he says need to wake up!",3,0,2022-04-16 02:08:24+00:00,,,,,
GreatResistAggregator????,,The Ins and Outs of Covid Vaccine Safety https://t.co/575yWtbM8n,2,,2022-04-16 02:08:24+00:00,,,,,
Iain Mackenzie,"Toronto, Ontario","@lisahsmithlhs I recommend this just released book if you seek to fully appreciate Trudeau's dystopic and social credit system inspired pandemic agenda - https://t.co/KmmX9Ie3O0

A friend of mine recently bought 40 of these books to distribute to his friends who he says need to wake up!",3,0,2022-04-16 02:08:07+00:00,,,,,
Iain Mackenzie,"Toronto, Ontario","@NotJayNelson I recommend this just released book if you seek to fully appreciate Trudeau's dystopic and social credit system inspired pandemic agenda - https://t.co/KmmX9Ie3O0

A friend of mine recently bought 40 of these books to distribute to his friends who he says need to wake up!",3,0,2022-04-16 02:07:56+00:00,,,,,
Concerned Citizen,An island/Canada's west coast,".For he love of God??how many times do fools like u have heard 2 be told the vaccine will prevent u from dying  or having to be hospitalized. 
NO ONE said it will prevent u from getting Covid.??

Try to keep up FFS! https://t.co/rf0TR1fhby",2,,2022-04-16 02:07:51+00:00,,,,,
Iain Mackenzie,"Toronto, Ontario","@CynicalPopulist I recommend this just released book if you seek to fully appreciate Trudeau's dystopic and social credit system inspired pandemic agenda - https://t.co/KmmX9Ie3O0

A friend of mine recently bought 40 of these books to distribute to his friends who he says need to wake up!",3,0,2022-04-16 02:07:44+00:00,,,,,
Iain Mackenzie,"Toronto, Ontario","@5dme81 I recommend this just released book if you seek to fully appreciate Trudeau's dystopic and social credit system inspired pandemic agenda - https://t.co/KmmX9Ie3O0

A friend of mine recently bought 40 of these books to distribute to his friends who he says need to wake up!",3,0,2022-04-16 02:07:29+00:00,,,,,
Iain Mackenzie,"Toronto, Ontario","@HeyYouOvaDer I recommend this just released book if you seek to fully appreciate Trudeau's dystopic and social credit system inspired pandemic agenda - https://t.co/KmmX9Ie3O0

A friend of mine recently bought 40 of these books to distribute to his friends who he says need to wake up!",3,0,2022-04-16 02:07:13+00:00,,,,,
Iain Mackenzie,"Toronto, Ontario","@maskedannie5 I recommend this just released book if you seek to fully appreciate Trudeau's dystopic and social credit system inspired pandemic agenda - https://t.co/KmmX9Ie3O0

A friend of mine recently bought 40 of these books to distribute to his friends who he says need to wake up!",3,0,2022-04-16 02:07:01+00:00,,,,,
Emilynn Collins,,"@sexchop @nathaliejacoby1 Do you understand what it is to fear for my friend?? life every day? To not have contact with her for over two years now, because of the off chance that I could give her COVID, that (even with the vaccine for both of us) could put her in the hospital?",3,0,2022-04-16 02:06:57+00:00,,,,,
Iain Mackenzie,"Toronto, Ontario","@raymartin48 I recommend this just released book if you seek to fully appreciate Trudeau's dystopic and social credit system inspired pandemic agenda - https://t.co/KmmX9Ie3O0

A friend of mine recently bought 40 of these books to distribute to his friends who he says need to wake up!",3,0,2022-04-16 02:06:50+00:00,,,,,
Iain Mackenzie,"Toronto, Ontario","@5dme81 I recommend this just released book if you seek to fully appreciate Trudeau's dystopic and social credit system inspired pandemic agenda - https://t.co/KmmX9Ie3O0

A friend of mine recently bought 40 of these books to distribute to his friends who he says need to wake up!",3,0,2022-04-16 02:06:34+00:00,,,,,
TLDCRM,"Miami, FL","Moderna, citing need for 'flexibility,' seeks broad clearance of fourth COVID shot https://t.co/kPz8R1mG8f https://t.co/ebYGuiblNJ",2,,2022-04-16 02:06:33+00:00,,,,,
Iain Mackenzie,"Toronto, Ontario","@TariqElnaga I recommend this just released book if you seek to fully appreciate Trudeau's dystopic and social credit system inspired pandemic agenda - https://t.co/KmmX9Ie3O0

A friend of mine recently bought 40 of these books to distribute to his friends who he says need to wake up!",3,0,2022-04-16 02:06:22+00:00,,,,,
Iain Mackenzie,"Toronto, Ontario","@MrJoKeR604 I recommend this just released book if you seek to fully appreciate Trudeau's dystopic and social credit system inspired pandemic agenda - https://t.co/KmmX9Ie3O0

A friend of mine recently bought 40 of these books to distribute to his friends who he says need to wake up!",3,0,2022-04-16 02:06:10+00:00,,,,,
Government Advisor??????,,Which one are you? #nz #nzpol #covid #vaccine #mandates,2,,2022-04-16 02:05:54+00:00,"nz,nzpol,covid,vaccine,mandates",,,,
Iain Mackenzie,"Toronto, Ontario","@Victoria59L I recommend this just released book if you seek to fully appreciate Trudeau's dystopic and social credit system inspired pandemic agenda - https://t.co/KmmX9Ie3O0

A friend of mine recently bought 40 of these books to distribute to his friends who he says need to wake up!",3,0,2022-04-16 02:05:46+00:00,,,,,
Iain Mackenzie,"Toronto, Ontario","@IamSue67 I recommend this just released book if you seek to fully appreciate Trudeau's dystopic and social credit system inspired pandemic agenda - https://t.co/KmmX9Ie3O0

A friend of mine recently bought 40 of these books to distribute to his friends who he says need to wake up!",3,0,2022-04-16 02:05:33+00:00,,,,,
KQED,"San Francisco, CA","On Thursday, the author of a bill that would have mandated vaccines for all children pulled the legislation.

Shortly after, state health officials pushed back the date of their student vaccine mandate.
https://t.co/3SX3rUbxwv",2,,2022-04-16 02:05:00+00:00,,,,,
Coaster,???,"@OmarInTheOF Covid is behind us as far as I'm concerned. 

If I can go inside a full building in Massachusetts and they're not asking for anything, mask or vaccine card, I think we're fine.  

But apparently the A's require it if you're going inside the clubhouse?",2,,2022-04-16 02:04:25+00:00,,,,,
Carolyn,USA,Air Force Master Sergeant Facing Court-Martial After Refusing COVID-19 Vaccine https://t.co/3BypWpkxmI,2,,2022-04-16 02:01:55+00:00,,,,,
Internet Tour Guide ???? ????,Inner Matrix,"That the mRNA-based COVID shot is not a real vaccine is evidenced by the sheer number of ??oosters??required to keep COVID-19 at bay. When the injections were released at the beginning of 2021, the promises flowed",3,0,2022-04-16 02:00:46+00:00,,,,,
