,clean_data,sentiment
1763,Covid vaccine and pedicure type day lowkey wanna get shake shack for lunch but I trying to strong,pos
795,Over 565 million COVID 19 vaccine doses have been administered in the US Roughly 70 of Americans 5 and older are fully vaccinated Click to see more from Center for Healthcare Regulatory Insight #KPMGHC #ATW360 https://t.co/pSryJhIo4f https://t.co/8mG48cuVzg,neu
2100,Lawless Government The HHS Illegally Redefined apos Vaccine apos to Provide Legal Immunity for COVID Shots https://t.co/k1XtoXHIOY,pos
104,Well It time to update your story we are watching https://t.co/ob5nQX3KUj,pos
1661,New York City neighborhoods have been thriving in the pandemic Should we redefine omeback by BY GINIA BELLAFANTE via NYT New York Times https://t.co/W62MzAL9aL,neu
2271,New York is done Along with all other DEMONICrat run cities and states https://t.co/cJgk2IzjGs,neu
1255,I was forcefully stuck in mental hospital in 2020 with a covid pacient in the ward we were not given masks only staff were were smoking together before knew vaccine was not invented So i say natural immunity I was not sick even once bu,pos
2190,No Appointment Needed Here is the upcoming Metro Health hosted pop-up COVID 19 vaccine clinic hours across the city To find the nearest vaccine clinic visit us online at https://t.co/YLcnpmdF0J https://t.co/dE7OY5XRji,neg
2408,Why is it hard to know who needs a #COVID booster #Vaccine experts aren閳ユ獩 certain who should get a second #booster閳ユ彸nd when閳ユ彽ecause the response of T-cells is poorly understood棣冩啚 https://t.co/6KIzpCdS2p,pos
252,That's not an endorsement to get the vaccine An endorsement would be I didn't get covid,neg
2038,Fully awake thanks The overwhelming majority of all historical vaccine adverse effects happened within 8 weeks We have 20months of trial data 15 months of real world data We have given more than 11 million do,pos
621,So to be clear she had the vaccine after already having covid But you anti vaxxers always say natural immunity by having caught it is the best defence,pos
1506,,neu
92,nan,neu
686,American Academy of Pediatrics ll eligible individuals should receive the COVID 19 vaccine All students older than 2 years and all school s,neu
487,A state appellate court ruled this week that it will not block enforcement of the Pritzker administration mandate that certain categories of public employees either be vaccinated against COVID 19 or undergo regular testing https://t.co/lWGD3uVKxx,pos
2303,Low income countries have started rejecting Covid 19 vaccines that are hard to store properly #astrazeneca #covid #covid19 #vaccine https://t.co/AtbTRaUpN9,neg
2312,When are you going to approve the Novavax Covid vaccine,neu
897,Ridiculous Without the bill that Joe Biden passed we would be in a deep depression Trump was the first president in US history to leave office with fewer jobs then when he took office and he put us on a path for a mil,neg
276,Again that wasn true of the polio vaccine And that wasn true of this vaccine If god forbid we waited a decade millions more would be dead Why is Hong Kong suffering mass deaths New Zealand isn with similar cases and no prev,neg
2598,How to we know if the vaccine prevented people from dying who were at risk and got covid however didn't know because the vaccine fight it off After all if you don't have symptoms why go get a test,neg
1666,Intensity and longevity of SARS-CoV 2 vaccination response in patients with immune-mediated inflammatory disease https://t.co/J7JzsADswu #SARSCoV2 #COVID19 #coronavirus #covid #vaccine #vaccinarion #immune #inflammation https://t.co/nyqXRus2Zz,neu
2052,Three year old separated from her family over covid vaccine disagreement https://t.co/kaFZFN06r0,neg
2279,Pfizer announced today that a third shot of its COVID 19 vaccine boosts immune protection in children ages 5 years to 11 years https://www https://t.co/NANcRhNMCl https://t.co/h3OzTFSVjX,pos
2181,I閳ユ獡 fully vaccinated with 3 and yet I still got Covid 棣冩  I don閳ユ獩 go in crowders places just work in retail This vaccine shit is bs,neg
399,I recommend this just released book if you seek to fully appreciate Trudeau's social credit system inspired pandemic agenda https://t.co/HZVXBMK9GU A friend of mine recently bought 40 of these books to distribute to his friends who he s,pos
2610,Attendance Plummets at LA Covid Vaccination Events https://t.co/997BQJvi8J,neu
2346,Need to get your COVID 19 Vaccine Come out to the Los Banos Apartments today April 15 2022 between 11:00 AM to 7:00 PM COVID 19 vaccines are available for children and adults,neu
2565,0,neu
2118,There will be no COVID 19 vaccine requirement for students for the 2022-23 school year https://t.co/HrV8sOKHAc,neg
2240,West delhi has at least 30552 new slots available between 15-04- 22 22-04- 22 Covishield Dose 1 18 45 4941/0 Dose 2 18 45 4701/0 Covaxin Dose 1 18 45 0/0 Dose 2 18 45 0/0 Book one now at https://t.co/oN1Ae9XavH #vaccine #cowin #covid #delhi,neu
1341,Far-Left Harris County Judge Lina Hidalgo Lashes Out at Prosecutors After Two of Her Staffers Indicted in 11 Million accine Contract Investigation Recall she was one of the most aggressive Covid tyrants in Texas during the pandemic threatening to jail and fine people https://t.co/a4pSicn9tI,neg
882,Today #Ohio #Governor Mike DeWine announced that he has been diagnosed with Covid 19 by his personal physician Governor DeWine has been experiencing mild symptoms such as a runny nose headache body aches and a sore throat #CovidIsNotOver #Vaccinated #Vaccine https://t.co/6pfI45YoJy,neg
720,,neu
1845,Pass this to your boss I challenge to meet ppl from Aberdeen Covid vaccine trials You say your grateful I say you're afraid of criticism Set a place and time,pos
1428,So mRNA vaccines x2 prevents severe disease and for the non-vulnerable a breakthrough infection provides lasting immunity I would regard this as a vaccine success A different approach is needed for the vulnerable who ideally shouldn e,pos
1045,Most recent one See 5-11 not recommended https://t.co/j66oJYL7cL,neg
1478,We are getting back to normal thanks to the vaccine All the fools who tweeted silly stuff like don wear a mask and antvaccine crap know now because all the people getting Covid now don die You don hear a word that they were wrong,neg
